ARQUIVO  DESCRICAO                                                                 ROTINAS
======== ========================================================================= =========================================
K00C     Rotina para indicacao do apartamento                                      C:APTO
K01C     Rotina para desenho de coluna de esgoto por dois pontos                   C:C2P
K02C     Rotina para colocacao do carimbo                                          C:CARIMBO
K03C     Rotina de edicao de textos do acadr11                                     C:CHGTEXT
K04C     Rotina para desenho da fiacao eletrica                                    C:CIRCUITO
K05C(*)  Rotina para criacao de detalhes padronizados                              C:MKDET (obsoleto)
K06C(*)  Rotina de impressao dinamica                                              C:DPRINTER (obsoleto)
K07C     Rotina de padronizacao das alturas dos textos                             C:EDTEXT
K08C     Rotina p/insercao dos blocos CSE/CGE/CRE                                  C:CX
K09C     Rotina p/desenho de furo na laje                                          C:FLAJE
K0AC     Rotina p/desenho de furo na viga                                          C:FVIGA
K0BC     Rotina de insercao de blocos por um ponto em escala                       C:INSERIR
K0CC     Rotina de insercao de blocos em escala (p/dois pontos)                    C:INSERT2
K0DC     Rotina de insercao de blocos admensionais (vistas)                        C:INSERT3
K0EC     Rotina para desenho de janelas                                            C:JANELA
K0FC     Rotina para desenho de de indicadores                                     C:LEADER1
K10C     Rotina para desenho de seta indicadora de prumada que desce               C:P-DESCE
K11C     Rotina para desenho de seta indicadora de prumada que passa               C:P-PASSA
K12C     Rotina para desenho de seta indicadora de prumada que sobe                C:P-SOBE
K13C     Rotina para tracado de parede                                             C:PAREDE
K14C     Rotina para desenho de pilar retangular                                   C:PILAR
K15C     Rotina de plotagem                                                        C:PLOTER
K16C     Rotina para desenho de portas                                             C:PORTA / C:PORTA2X / C:PCORRER
K17C(*)  Rotina de impressao                                                       C:PRINTER (obsoleto)
K18C(*)  Rotina de desenho de quadro de quarga                                     C:QD (obsoleto)
K19C(*)  Rotina para preenchimento de tabelas                                      C:QDTEXTO (obsoleto)
K1AC     Rotina para desenho de pilar redondo                                      C:REDONDO
K1BC     Rotina de configuracao do desenho                                         C:SETUP
K1CC     Rotina para ativar e desativar camadas                                    C:SETLAYER
K1DC     Rotina p/seta indicadora de coluna que desce                              C:T-DESCE
K1EC     Rotina p/seta indicadora de coluna que passa                              C:T-PASSA
K1FC     Rotina p/seta indicadora de coluna que sobe                               C:T-SOBE
K20C     Conjunto de rotina utilitarias de uso geral                               UTIL
K21C     Rotina para cortar paredes que se cruzam em T ou X                        C:CUTWALL
K22C     Rotina de convercao da configuracao de camadas entre AI1.0 p/ 2.1         C:TRANSLATE
K23C     Rotina p/desenho da seta indicativa de previsao p/aparelho a gas          C:GBOX
K24C     Rotina p/desenho da caixa de distribuicao de TE                           C:CXD
K25C     Rotina de correcao da especura das tubulacoes AI1.0 p/ AI2.1              C:CORRETOR
K26C     Rotina de logon do sistema                                                LOGON
K27C     Rotina de logoff do sistema                                               LOGOFF
K28C     Rotina de visualizacao das modificacoes realizadas no arquivo             C:VLOG
K29C     Rotina p/desenho da maquina de ar condicionado com uma saida              C:MQ1S
K2AC     Rotina p/desenho da maquina de ar condicionado com duas saidas            C:MQ2S
K2BC     Rotina p/desenho da torre de ar condicionado                              C:TORRE
K2CC     Rotina p/desenho de dutos de ar condicionado                              C:DUTOS
K2DC     Rotina p/desenho da transformacao de dutos de ar condicionado             C:TRANSF
K2EC     Rotina que copia entidades trocando de camada                             C:CHCOPY
K2FC     Conjunto de rotinas para manipulacao de atributos                         ATTRIB
K30C     Rotina de insercao dos blocos de eletrica                                 C:UINSERT
K31C     Rotinas para copiar e espelhar os objetos eletricos inserido no desenho   C:ECOPY / C:EMIRROR
K32C     Rotina p/extrair informacoes do desenho para processar a fiacao           C:ESAVE
K33C     Rotinas de processamento da fiacao eletrica                               C:FIACAO
K34C     Rotinas para edicao das informacoes dos objetos eletricos                 C:ECHORG / C:ECHCIR / C:ECHCMD
K35C     Rotina de desenho do quadro de cargas com dimensionamento simplificado    C:EQDCA/C:EQDCM
K36C     Rotinas de depuracao de programas                                         DBG / MON
K37C(*)  Rotina de insercao de detalhes padronizados                               C:LDDET (obsoleto)
K38C(*)  Rotina para alteracao de detalhes padronizados                            C:CHDET (obsoleto)
K39C     Rotina para importar arquivos de texto                                    C:IMPTXT
K3AC     Rotina de impressao continua                                              C:PRINTC
K3BC     Rotina de impressao dinamica                                              C:DPRINT
K3CC     Rotina p/desenho de seta indicativa de equipamento                        C:INDIC
K3DC(*)  Rotina de manipulacao de infos via desenho                                INFO
K3EC     Rotinas para manipulacao de camadas                                       C:PS / C:PF / C:PCH
K3FC     Rotina para criacao de uma serie numerica                                 C:SERIE
K40C     Rotina para impressao dinamica em multiplas paginas                       C:MPRINT
K41C     Rotina de fax dinamica                                                    C:DFAX
K42C     Rotina para transmissao de arquivo de fax a fila                          C:FAX
K43C(*)  Rotina de verificacao de status dos fax                                   C:FAXLOG (obsoleto)
K44C(*)  Rotina para separacao dos desenhos por instalacoes                        C:SPLIT (obsoleto)
K45C     Rotina p/ calc de dimensionamento de eletrodutos                          C:CALCDT
K46C     Rotina para desenho da planta baixa de arquitetura a partir de uma malha  C:MALHA
K47C     Conjunto de rotinas para controle de exclusao mutua nos arquivos da rede  LOCKF
K48C     Rotina que gera relatorio de custo de desenho                             C:CUSTO
K49C     Rotina para eliminar entidades de mesmo tipo na mesma camada              C:PE
